Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,06/02/2019,Everton,Man City,,,,,,,10,6.25,1.3,10,6,1.28,8,5.3,1.35,9.59,5.84,1.33,10,5.5,1.3,11,6,1.3,35,11,9.41,6.25,5.78,1.35,1.31,33,1.52,1.49,2.8,2.61,22,1.5,2.05,2,1.91,1.87
E3,05/02/2019,Cheltenham,Yeovil,,,,,,,2.2,3.4,3.6,2.15,3.2,3.4,2,3.15,3.35,2.12,3.34,3.73,2.1,3.25,3.6,2.15,3.4,3.5,34,2.23,2.12,3.45,3.26,3.73,3.47,33,2.12,2.03,1.85,1.75,20,-0.25,1.87,1.81,2.08,1.99
E3,05/02/2019,Tranmere,Northampton,,,,,,,2.25,3.6,3.3,2.1,3.5,3.25,2.1,3.25,3.05,2.18,3.59,3.32,2.15,3.5,3.25,2.25,3.6,3.25,34,2.25,2.17,3.6,3.41,3.4,3.21,30,1.92,1.87,1.98,1.9,20,-0.25,1.94,1.87,1.99,1.92
F1,05/02/2019,Marseille,Bordeaux,,,,,,,2.25,3.2,3.4,2.2,3.2,3.5,2.35,3.2,3.2,2.4,3.16,3.42,2.3,3.1,3.3,2.3,3.25,3.3,34,2.4,2.34,3.27,3.13,3.5,3.33,33,2.26,2.18,1.75,1.68,19,-0.25,2.04,1.99,1.91,1.86
I1,07/02/2019,Lazio,Empoli,,,,,,,1.3,5.25,9.5,1.33,5,10,1.33,5.4,8.6,1.34,5.41,9.7,1.33,5.25,9,1.33,5.5,9,34,1.37,1.33,5.75,5.25,10.5,9.21,32,1.55,1.5,2.7,2.56,23,-1.5,1.97,1.92,2,1.93
SC0,06/02/2019,Aberdeen,Rangers,,,,,,,4,3.75,1.83,3.8,3.5,1.91,4.05,3.45,1.83,4.12,3.83,1.88,4,3.7,1.85,4.2,3.6,1.87,32,4.2,4.03,3.83,3.58,1.95,1.87,31,2.08,1.99,2,1.8,18,0.75,1.75,1.71,2.21,2.12
SC0,06/02/2019,Celtic,Hibernian,,,,,,,1.28,5.25,10,1.28,5.25,10,1.27,5.2,9.5,1.26,6,12.3,1.25,5.8,12,1.29,5.75,10.5,34,1.3,1.27,6.26,5.51,12.5,10.66,32,1.65,1.61,2.38,2.27,21,-1.5,1.9,1.83,2.05,1.98
SC0,06/02/2019,Dundee,Kilmarnock,,,,,,,4.33,3.6,1.8,4.2,3.4,1.85,4.2,3.5,1.8,4.3,3.74,1.87,4.33,3.6,1.8,4.4,3.75,1.8,34,4.5,4.27,3.75,3.55,1.9,1.83,33,2.07,1.99,1.85,1.79,19,0.75,1.81,1.75,2.15,2.08
SC0,06/02/2019,Hamilton,St Johnstone,,,,,,,3.75,3.4,2,3.75,3.2,2.05,3.85,3.15,2,4,3.29,2.09,3.8,3.2,2.05,3.9,3.3,2.05,33,4.1,3.87,3.4,3.22,2.09,2.02,31,2.52,2.34,1.65,1.57,19,0.25,2.2,2.1,1.78,1.73
SC0,06/02/2019,Hearts,Livingston,,,,,,,1.75,3.6,4.75,1.72,3.6,4.75,1.77,3.4,4.6,1.82,3.6,4.83,1.78,3.5,4.75,1.75,3.6,4.8,33,1.82,1.78,3.6,3.49,5,4.64,31,2.31,2.2,1.7,1.64,19,-0.75,2.1,2.02,1.85,1.8
SC0,06/02/2019,St Mirren,Motherwell,,,,,,,3.4,3.4,2.1,3.6,3.2,2.1,3.4,3.15,2.15,3.51,3.42,2.2,3.4,3.3,2.15,3.5,3.3,2.15,32,3.7,3.45,3.42,3.25,2.2,2.15,30,2.3,2.24,1.67,1.62,18,0.25,2.06,1.98,1.88,1.83
SC2,05/02/2019,Stranraer,Stenhousemuir,,,,,,,1.95,3.75,3.5,1.95,3.5,3.2,1.95,3.5,3.35,2.01,3.87,3.47,2,3.7,3.4,2,3.7,3.5,30,2.05,1.97,3.87,3.62,3.6,3.36,27,1.72,1.67,2.25,2.11,14,-0.5,2.04,1.99,1.87,1.8
