Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Switzerland,Super League,02/02/2019,18:00,Young Boys,Xamax,1.24,6.36,11.27,1.25,7,13,1.22,6.37,10.81
Switzerland,Super League,03/02/2019,15:00,St. Gallen,Zurich,2.84,3.55,2.48,2.85,3.6,2.5,2.74,3.44,2.42
Switzerland,Super League,03/02/2019,15:00,Luzern,Sion,2.23,3.64,3.17,2.32,3.65,3.17,2.2,3.53,3.02
Switzerland,Super League,02/02/2019,18:00,Lugano,Thun,2.42,3.47,2.98,2.45,3.5,3,2.34,3.37,2.89
Switzerland,Super League,03/02/2019,15:00,Grasshoppers,Basel,5.05,4.14,1.65,5.05,4.15,1.7,4.8,3.97,1.65
Romania,Liga 1,03/02/2019,15:00,Voluntari,Sepsi,4.13,3.35,1.95,4.5,3.35,2,3.93,3.21,1.94
Romania,Liga 1,03/02/2019,18:00,Viitorul Constanta,U Craiova 1948 CS,2.59,3.15,2.9,2.6,3.2,2.97,2.47,3.07,2.84
Romania,Liga 1,01/02/2019,18:00,Gaz Metan Medias,Astra,2.63,2.93,3.2,2.63,2.99,3.2,2.52,2.88,2.99
Romania,Liga 1,04/02/2019,18:00,Din. Bucuresti,Poli Iasi,1.93,3.44,4.06,2,3.44,4.1,1.93,3.28,3.87
Romania,Liga 1,01/02/2019,15:00,Concordia,FC Botosani,3.5,3.34,2.22,3.75,3.34,2.23,3.38,3.17,2.14
Romania,Liga 1,02/02/2019,18:00,CFR Cluj,FC Hermannstadt,1.38,4.08,10.05,1.41,4.4,11,1.37,4.1,9.14
Romania,Liga 1,02/02/2019,12:00,Calarasi,FC Steaua Bucuresti,5.96,3.6,1.63,6.5,3.7,1.65,5.63,3.56,1.61
Mexico,Liga MX,03/02/2019,18:00,U.N.A.M.- Pumas,Monterrey,3.51,3.55,2.12,3.6,3.55,2.13,3.4,3.38,2.07
Mexico,Liga MX,03/02/2019,01:00,U.A.N.L.- Tigres,Santos Laguna,1.75,3.71,4.94,1.79,3.71,5,1.74,3.54,4.69
Mexico,Liga MX,02/02/2019,03:00,Puebla,Necaxa,2.57,3.23,2.95,2.57,3.26,3,2.48,3.14,2.84
Mexico,Liga MX,02/02/2019,01:00,Monarcas,Atlas,2.45,3.44,2.96,2.5,3.45,3,2.39,3.26,2.87
Mexico,Liga MX,03/02/2019,22:00,Lobos BUAP,Pachuca,3.04,3.59,2.33,3.1,3.59,2.38,2.95,3.35,2.3
Mexico,Liga MX,05/02/2019,00:36,Guadalajara Chivas,Veracruz,1.46,4.36,7.48,1.46,4.55,8.5,1.43,4.17,7.18
Mexico,Liga MX,03/02/2019,03:06,Club Tijuana,Toluca,2.62,3.27,2.86,2.7,3.3,2.86,2.56,3.13,2.76
Mexico,Liga MX,03/02/2019,01:00,Club Leon,Cruz Azul,2.46,3.33,3.03,2.5,3.36,3.2,2.41,3.12,2.97
Mexico,Liga MX,02/02/2019,23:00,Club America,Queretaro,1.31,5.26,9.85,1.34,5.35,9.9,1.31,5.01,8.89
Argentina,Primera Division,02/02/2019,00:10,Talleres Cordoba,Banfield,2.16,2.97,4.18,2.16,3.2,4.18,2.11,2.97,3.91
Argentina,Primera Division,02/02/2019,00:10,San Martin T.,Defensa y Justicia,3.87,3.16,2.16,4,3.18,2.18,3.7,3.07,2.13
Argentina,Primera Division,02/02/2019,20:10,San Lorenzo,Independiente,3.15,3.19,2.47,3.2,3.19,2.55,3.04,3.04,2.45
Argentina,Primera Division,03/02/2019,00:30,Rosario Central,Aldosivi,1.97,3.46,4.11,2.02,3.46,4.5,1.97,3.22,4.03
Argentina,Primera Division,02/02/2019,22:20,Lanus,Colon Santa FE,2.07,3.2,4.12,2.11,3.2,4.12,2.05,3.09,3.91
Argentina,Primera Division,01/02/2019,22:00,Gimnasia L.P.,Tigre,2.36,3.18,3.34,2.38,3.2,3.4,2.32,3.08,3.23
Argentina,Primera Division,02/02/2019,22:20,Argentinos Jrs,Belgrano,2.41,2.99,3.47,2.46,3.01,3.47,2.36,2.94,3.31
